mode,query,query_type,strategy,retrieved_docs,gold_docs,answer,cited_doc,recall_at_3,answer_keyword_score,faithfulness,citation_relevance,abstained,failure_type
baseline_only,What does BM25 rely on?,direct_fact,baseline,doc1|doc3,doc1,BM25 is a sparse retrieval method based on exact term matching and term frequency.,doc1,1.0,1.0,1.0,1.0,0.0,success
baseline_only,How does dense retrieval use embeddings?,direct_fact,baseline,doc2|doc3|doc1,doc2,Dense retrieval uses neural embeddings to capture semantic similarity between queries and documents.,doc2,1.0,1.0,1.0,1.0,0.0,success
baseline_only,What is hybrid retrieval?,direct_fact,baseline,doc3|doc1|doc5,doc3,Hybrid retrieval combines sparse retrieval such as BM25 with dense retrieval scores.,doc3,1.0,1.0,1.0,1.0,0.0,success
baseline_only,Why can re-ranking fail?,evidence_sensitive,baseline,doc4,doc4,Re-ranking improves the order of retrieved candidates but cannot recover relevant documents missed by first-stage retrieval.,doc4,1.0,1.0,1.0,1.0,0.0,success
baseline_only,What does faithfulness measure?,direct_fact,baseline,doc6,doc6,Faithfulness measures whether the generated answer is supported by the retrieved context.,doc6,1.0,1.0,1.0,1.0,0.0,success
baseline_only,Which retrieval method is best?,ambiguous,baseline,doc1|doc3|doc5,,BM25 is a sparse retrieval method based on exact term matching and term frequency.,doc1,0.0,0.0,1.0,0.0,0.0,unsupported_answer
baseline_only,What is the capital of France?,unsupported,baseline,,,I do not have enough information to answer.,,1.0,1.0,1.0,1.0,1.0,correct_abstention
evidence_only,What does BM25 rely on?,direct_fact,evidence_first,doc1|doc3,doc1,Based on the retrieved evidence: BM25 is a sparse retrieval method based on exact term matching and term frequency.,doc1,1.0,1.0,1.0,1.0,0.0,success
evidence_only,How does dense retrieval use embeddings?,direct_fact,evidence_first,doc2|doc3|doc1,doc2,Based on the retrieved evidence: Dense retrieval uses neural embeddings to capture semantic similarity between queries and documents.,doc2,1.0,1.0,1.0,1.0,0.0,success
evidence_only,What is hybrid retrieval?,direct_fact,evidence_first,doc3|doc1|doc5,doc3,Based on the retrieved evidence: Hybrid retrieval combines sparse retrieval such as BM25 with dense retrieval scores.,doc3,1.0,1.0,1.0,1.0,0.0,success
evidence_only,Why can re-ranking fail?,evidence_sensitive,evidence_first,doc4,doc4,Based on the retrieved evidence: Re-ranking improves the order of retrieved candidates but cannot recover relevant documents missed by first-stage retrieval.,doc4,1.0,1.0,1.0,1.0,0.0,success
evidence_only,What does faithfulness measure?,direct_fact,evidence_first,doc6,doc6,Based on the retrieved evidence: Faithfulness measures whether the generated answer is supported by the retrieved context.,doc6,1.0,1.0,1.0,1.0,0.0,success
evidence_only,Which retrieval method is best?,ambiguous,evidence_first,doc1|doc3|doc5,,Based on the retrieved evidence: BM25 is a sparse retrieval method based on exact term matching and term frequency.,doc1,0.0,0.0,1.0,0.0,0.0,unsupported_answer
evidence_only,What is the capital of France?,unsupported,evidence_first,,,I do not have enough evidence to answer.,,1.0,1.0,1.0,1.0,1.0,correct_abstention
abstention_only,What does BM25 rely on?,direct_fact,abstention,doc1|doc3,doc1,I do not have enough evidence to answer safely.,,1.0,0.0,1.0,0.0,1.0,over_conservative_abstention
abstention_only,How does dense retrieval use embeddings?,direct_fact,abstention,doc2|doc3|doc1,doc2,Dense retrieval uses neural embeddings to capture semantic similarity between queries and documents.,doc2,1.0,1.0,1.0,1.0,0.0,success
abstention_only,What is hybrid retrieval?,direct_fact,abstention,doc3|doc1|doc5,doc3,Hybrid retrieval combines sparse retrieval such as BM25 with dense retrieval scores.,doc3,1.0,1.0,1.0,1.0,0.0,success
abstention_only,Why can re-ranking fail?,evidence_sensitive,abstention,doc4,doc4,Re-ranking improves the order of retrieved candidates but cannot recover relevant documents missed by first-stage retrieval.,doc4,1.0,1.0,1.0,1.0,0.0,success
abstention_only,What does faithfulness measure?,direct_fact,abstention,doc6,doc6,Faithfulness measures whether the generated answer is supported by the retrieved context.,doc6,1.0,1.0,1.0,1.0,0.0,success
abstention_only,Which retrieval method is best?,ambiguous,abstention,doc1|doc3|doc5,,I do not have enough evidence to answer safely because the query is ambiguous.,,0.0,1.0,1.0,1.0,1.0,correct_abstention
abstention_only,What is the capital of France?,unsupported,abstention,,,I do not have enough evidence to answer because the corpus does not contain relevant support.,,1.0,1.0,1.0,1.0,1.0,correct_abstention
adaptive,What does BM25 rely on?,direct_fact,baseline,doc1|doc3,doc1,BM25 is a sparse retrieval method based on exact term matching and term frequency.,doc1,1.0,1.0,1.0,1.0,0.0,success
adaptive,How does dense retrieval use embeddings?,direct_fact,baseline,doc2|doc3|doc1,doc2,Dense retrieval uses neural embeddings to capture semantic similarity between queries and documents.,doc2,1.0,1.0,1.0,1.0,0.0,success
adaptive,What is hybrid retrieval?,direct_fact,baseline,doc3|doc1|doc5,doc3,Hybrid retrieval combines sparse retrieval such as BM25 with dense retrieval scores.,doc3,1.0,1.0,1.0,1.0,0.0,success
adaptive,Why can re-ranking fail?,evidence_sensitive,evidence_first,doc4,doc4,Based on the retrieved evidence: Re-ranking improves the order of retrieved candidates but cannot recover relevant documents missed by first-stage retrieval.,doc4,1.0,1.0,1.0,1.0,0.0,success
adaptive,What does faithfulness measure?,direct_fact,baseline,doc6,doc6,Faithfulness measures whether the generated answer is supported by the retrieved context.,doc6,1.0,1.0,1.0,1.0,0.0,success
adaptive,Which retrieval method is best?,ambiguous,abstention,doc1|doc3|doc5,,I do not have enough evidence to answer safely because the query is ambiguous.,,0.0,1.0,1.0,1.0,1.0,correct_abstention
adaptive,What is the capital of France?,unsupported,abstention,,,I do not have enough evidence to answer because the corpus does not contain relevant support.,,1.0,1.0,1.0,1.0,1.0,correct_abstention
